,city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,maceio,-9.6658,-35.7353,72.84,88,75,1.14,BR,1659855298
260,souillac,-20.5167,57.5167,75.58,69,40,12.66,MU,1659855298
261,belmonte,-15.8631,-38.8828,71.62,89,72,4.32,BR,1659855133
262,labuhan,-6.8844,112.2051,82.58,69,62,9.15,ID,1659855298
263,sao joao da barra,-21.6403,-41.0511,69.58,86,65,8.84,BR,1659855298
264,duzce,40.8389,31.1639,78.31,63,55,4.32,TR,1659855299
265,camacha,33.0833,-16.3333,67.42,73,75,6.91,PT,1659855299
266,luanda,-8.8368,13.2343,66.72,81,24,6.08,AO,1659855299
267,sao raimundo das mangabeiras,-7.0219,-45.4811,69.49,41,0,3.8,BR,1659855248
268,baghdad,33.3406,44.4009,100.31,19,5,18.41,IQ,1659855300
269,zhigansk,66.7697,123.3711,54.99,97,100,6.85,RU,1659855300
270,surovikino,48.6078,42.8486,91.42,18,6,13.11,RU,1659855300
271,damghan,36.1683,54.348,88.84,24,5,5.48,IR,1659855300
272,paamiut,61.994,-49.6678,41.32,89,89,10.16,GL,1659855301
273,gilgit,35.9221,74.3087,91.96,34,14,3.2,PK,1659855301
274,esperance,-33.8667,121.9,55.2,83,100,11.61,AU,1659855301
275,belo jardim,-8.3356,-36.4242,62.74,93,89,5.19,BR,1659855301
276,deyang,31.1302,104.382,90.9,61,100,6.26,CN,1659855302
277,marawi,7.9986,124.2928,72.59,93,96,1.92,PH,1659855302
278,south sioux city,42.4739,-96.4136,71.55,90,75,7.0,US,1659855302
279,alto araguaia,-17.3147,-53.2153,66.79,38,100,4.09,BR,1659855303
280,tokoroa,-38.2333,175.8667,52.95,82,100,3.0,NZ,1659855303
281,east london,-33.0153,27.9116,58.14,100,100,10.36,ZA,1659855303
282,tasiilaq,65.6145,-37.6368,41.61,94,100,16.06,GL,1659855303
283,bandarbeyla,9.4942,50.8122,85.69,46,53,29.06,SO,1659855304
284,komsomolskiy,40.4272,71.7189,98.04,16,0,9.66,UZ,1659855304
285,umarkot,25.3616,69.7362,97.18,44,41,4.16,PK,1659855304
286,marzuq,14.4,46.4667,83.7,47,54,9.8,YE,1659855305
287,dunedin,-45.8742,170.5036,41.81,65,100,1.99,NZ,1659855046
288,novo aripuana,-5.1206,-60.3797,77.59,69,86,1.28,BR,1659855305
289,challans,46.8436,-1.8749,64.6,47,0,14.94,FR,1659855305
290,pinotepa nacional,16.3167,-98.0167,74.41,95,100,2.73,MX,1659855306
291,moranbah,-22.0016,148.0466,71.19,45,1,7.25,AU,1659855306
292,kruisfontein,-34.0033,24.7314,56.88,87,93,19.01,ZA,1659855306
293,uruguaiana,-29.7547,-57.0883,48.13,93,0,16.11,BR,1659855306
294,mkushi,-13.6202,29.3939,68.14,35,0,8.84,ZM,1659855307
295,salym,60.0625,71.4789,76.28,44,94,8.68,RU,1659855307
296,lorengau,-2.0226,147.2712,83.44,72,85,8.23,PG,1659855307
297,san rafael del sur,11.8485,-86.4384,76.17,80,100,10.47,NI,1659855307
298,haines junction,60.7522,-137.5108,49.95,66,83,5.75,CA,1659855308
299,oriximina,-1.7656,-55.8661,73.35,88,53,3.29,BR,1659855194
300,penzance,50.1186,-5.5371,59.68,73,58,13.06,GB,1659855308
301,katsuura,35.1333,140.3,83.03,81,16,10.47,JP,1659855308
302,tucupita,9.0622,-62.051,73.18,99,29,2.89,VE,1659855308
303,son la,21.3167,103.9,71.31,99,100,2.19,VN,1659855024
304,ayr,55.4627,-4.6339,59.31,88,100,17.27,GB,1659855309
305,sturgis,41.7992,-85.4192,77.13,90,0,5.75,US,1659855309
306,homa bay,-0.5273,34.4571,75.42,52,99,1.39,KE,1659855309
307,yumen,40.2833,97.2,79.75,33,93,10.42,CN,1659855310
308,mehriz,31.5917,54.4318,93.7,14,0,6.29,IR,1659855310
309,tocache,-8.1842,-76.5125,67.68,99,70,0.2,PE,1659855310
310,hovd,48.0056,91.6419,75.29,25,20,8.59,MN,1659855310
311,kutum,14.2,24.6667,78.71,55,68,7.4,SD,1659855311
312,bafq,31.6128,55.4107,96.21,11,0,0.96,IR,1659855311
313,serenje,-13.2325,30.2352,64.94,42,0,7.99,ZM,1659855311
314,sambava,-14.2667,50.1667,73.78,59,3,10.67,MG,1659855311
315,san patricio,28.017,-97.5169,84.88,81,6,11.68,US,1659855312
316,cozumel,20.5083,-86.9458,80.06,84,100,8.93,MX,1659855125
317,grootfontein,-19.5667,18.1167,53.17,47,0,3.44,NA,1659855312
318,nantucket,41.2835,-70.0995,78.91,94,40,12.66,US,1659855149
319,egvekinot,66.3167,-179.1667,48.97,66,74,4.43,RU,1659855312
320,popondetta,-8.7537,148.2534,82.58,72,67,5.82,PG,1659855312
321,mayor pablo lagerenza,-19.9309,-60.7718,69.46,77,100,5.26,PY,1659855313
322,guerrero negro,27.9769,-114.0611,71.47,87,97,5.44,MX,1659855313
323,vestmannaeyjar,63.4427,-20.2734,52.63,88,100,21.07,IS,1659855313
324,zhanakorgan,43.9098,67.2495,87.1,25,100,5.64,KZ,1659855314
325,kaeo,-35.1,173.7833,59.32,96,100,8.14,NZ,1659855314
326,vila franca do campo,37.7167,-25.4333,72.01,88,29,4.92,PT,1659855314
327,novopokrovka,49.8425,36.5477,82.78,32,0,8.39,UA,1659855314
328,santiago de chuco,-8.15,-78.1833,50.68,81,99,2.33,PE,1659855315
329,moerai,-22.4333,-151.3333,70.88,58,91,26.44,PF,1659855315
330,provideniya,64.3833,-173.3,47.91,96,100,8.43,RU,1659855315
331,ustupo,9.1333,-77.9333,76.28,92,100,4.0,PA,1659855315
332,bubaque,11.2833,-15.8333,77.86,86,100,8.99,GW,1659855316
333,tome,-36.6167,-72.95,48.81,93,100,5.1,CL,1659855316
334,talcahuano,-36.7167,-73.1167,49.68,100,100,8.05,CL,1659855316
335,rio branco,-9.9747,-67.81,72.21,100,100,2.3,BR,1659855316
336,borovany,48.8986,14.6423,64.11,77,16,4.56,CZ,1659855317
337,valverde del camino,37.5751,-6.7543,63.03,70,0,3.71,ES,1659855317
338,florianopolis,-27.6146,-48.5012,58.41,99,100,1.14,BR,1659855018
339,polson,47.6936,-114.1632,56.21,57,0,4.27,US,1659855317
340,porto novo,6.4965,2.6036,73.22,82,16,7.4,BJ,1659855318
341,moron,-34.6534,-58.6198,53.35,77,93,7.49,AR,1659855318
342,carauari,-4.8828,-66.8958,71.55,97,70,0.76,BR,1659855318
343,valparaiso,-33.0393,-71.6273,52.48,100,100,4.61,CL,1659855318
344,impfondo,1.6381,18.0667,77.43,80,100,3.76,CG,1659855319
345,tuatapere,-46.1333,167.6833,36.36,89,88,9.08,NZ,1659855319
346,marsa matruh,31.3525,27.2453,82.6,83,75,16.11,EG,1659855255
347,nara,34.6851,135.8049,92.91,68,73,2.71,JP,1659855274
348,wewak,-3.5534,143.6268,83.1,77,98,7.63,PG,1659855319
349,muli,2.9167,73.5667,82.04,77,87,11.41,MV,1659855320
350,ibra,22.6906,58.5334,101.16,22,9,3.0,OM,1659855320
351,adiake,5.2863,-3.304,73.6,77,75,4.65,CI,1659855320
352,kuytun,54.3419,101.5036,61.68,51,100,7.65,RU,1659855320
353,soubre,5.7856,-6.6083,66.52,95,24,1.1,CI,1659855321
354,palauig,15.435,119.9045,80.62,81,100,16.31,PH,1659855321
355,takoradi,4.8845,-1.7554,72.79,81,61,3.58,GH,1659855321
356,kavieng,-2.5744,150.7967,83.32,70,35,8.43,PG,1659855321
357,faya,18.3851,42.4509,71.71,57,100,6.35,SA,1659855322
358,yelizovo,53.1873,158.3805,62.74,67,75,6.71,RU,1659855322
359,axim,4.8699,-2.2405,74.3,74,89,3.85,GH,1659855322
360,manta,-0.95,-80.7333,71.38,88,100,4.61,EC,1659855322
361,tadine,-21.55,167.8833,74.34,80,1,5.19,NC,1659855323
362,baruun-urt,46.6806,113.2792,69.01,38,98,8.21,MN,1659855323
363,aswan,24.0934,32.907,94.3,18,0,8.05,EG,1659855323
